Film Description,Genre,IMDB
 (2014) სიბნელიდან - Out of the Dark,"საშინელება, ტრილერი",IMDB: 4.7
 (2022) იქორწინე ჩემზე - Marry Me,"მელოდრამა, მუსიკალური, კომედია",IMDB: 6.1
 (2021) კოდა - CODA,"დრამა, მუსიკალური, კომედია",IMDB: 8
 (2021) ჰელოუინი კლავს - Halloween Kills,"საშინელება, ტრილერი",IMDB: 5.5
 (2022) სასწრაფო დახმარება - Ambulance,"დრამა, მძაფრ-სიუჟეტიანი, კრიმინალური",IMDB: 6.1
 (2022) გამოსაშვები საღამო - Senior Year,"დრამა, კომედია",IMDB: 5.6
 (2022) შავი სინათლე - Blacklight,"მძაფრ-სიუჟეტიანი, ტრილერი",IMDB: 4.7
 (2022) ძაღლი - Dog,"დრამა, კომედია",IMDB: 6.5
 (2021) კოშმარული ხეივანი - Nightmare Alley,"დრამა, ტრილერი, კრიმინალური",IMDB: 7.1
 (2022) დიდი გამყინვარება 6: ბაკ უაილდის თავგადასავალი - The Ice Age Adventures of Buck Wild,"ანიმაციური , სათავგადასავლო, კომედია",IMDB: 4.3
 (2022) X - X,"საშინელება, ტრილერი",IMDB: 6.7
 (2021) ღმერთის ეგზორციზმი - The Exorcism of God,"დრამა, საშინელება",IMDB: 5.3
 (2022) 365 დღე: ეს დღე - 365 Days: This Day,"დრამა, მელოდრამა",IMDB: 2.5
 (2021) გუჩის სახლი - House of Gucci,"დრამა, კრიმინალური",IMDB: 6.6
 (2022) ტურისტები - Backpackers,"მელოდრამა, კომედია",IMDB: 5.7
 (2022) უსასრულო ქარიშხალი - Infinite Storm,"დრამა, ტრილერი",IMDB: 5.2
 (2011) ექსტრასენსი - The Awakening,"საშინელება, ტრილერი",IMDB: 6.4
 (2022) ძველი დანები - All the Old Knives,ტრილერი,IMDB: 6.1
 (2020) დაარსება - Initiation,"საშინელება, კრიმინალური, მისტიკა",IMDB: 5
 (2022) კონტრაქტორი - The Contractor,"მძაფრ-სიუჟეტიანი, ტრილერი",IMDB: 5.7
 (2012) გამბიტი - Gambit,"კრიმინალური, კომედია",IMDB: 5.7
 (2022) მთვარის ვარდნა - Moonfall,"მძაფრ-სიუჟეტიანი, სათავგადასავლო, ფანტასტიკა",IMDB: 5.2
 (2020) დე გოლი - De Gaulle,"დრამა, ისტორიული, ბიოგრაფიული",IMDB: 6.1
 (2022) სიყვარულის ტაქტიკა - Love Tactics,მელოდრამა,IMDB: 5.2
